Which Lee is famous for being a martial artist and kung fu film star?	stan lee	spike lee	bruce lee
Which Lee is famous for being a martial artist and kung fu film star?	stan lee	spike lee	bruce lee
Which Lee is famous for being a martial artist and kung fu film star?	stan lee	spike lee	bruce lee
Which Lee is famous for being a martial artist and kung fu film star?	stan lee	spike lee	bruce lee
Which Lee is famous for being a martial artist and kung fu film star?	stan lee	spike lee	bruce lee
Which Lee is famous for being a martial artist and kung fu film star?	stan lee	spike lee	bruce lee
Which Lee is famous for being a martial artist and kung fu film star?	stan lee	spike lee	bruce lee
Which Lee is famous for being a martial artist and kung fu film star?	stan lee	spike lee	bruce lee
Canon Nikon and Olympus all specialize in what products?	can openers	cameras	candelabras
Canon Nikon and Olympus all specialize in what products?	can openers	cameras	candelabras
What food item is traditionally thrown following a wedding ceremony?	rice	sushi	potatoes
Which fashion magazine is also the French word for she or	elle	vogue	instyle
Which of these film franchises has the	underworld	resident evil	pirates of the caribbean
Bebop and Rocksteady are enemies of which cartoon crimefighters?	watchmen	the avengers	tmnt
Which NBA franchise has the most individual winners in the Slam Dunk Contest?	atlanta hawks	new york knicks	chicago bulls
Which movie directors daughter made her directorial debut in 2017?	nancy meyers	david lynch	ridley scott
Which of these fitness fads came first?	tae bo	jazzercise	zumba
Canon Nikon and Olympus all specialize in what products?	can openers	cameras	candelabras
Canon Nikon and Olympus all specialize in what products?	can openers	cameras	candelabras
Canon Nikon and Olympus all specialize in what products?	can openers	cameras	candelabras
Canon Nikon and Olympus all specialize in what products?	can openers	cameras	candelabras
Canon Nikon and Olympus all specialize in what products?	can openers	cameras	candelabras
Canon Nikon and Olympus all specialize in what products?	can openers	cameras	candelabras
Canon Nikon and Olympus all specialize in what products?	can openers	cameras	candelabras
Which of these are you most likely to find in a toolbox?	hammer	mc hammer	hammerhead shark
Which of these are you most likely to find in a toolbox?	hammer	mc hammer	hammerhead shark
How do you let someone on Tinder know youre interested?	swipe right	draw circle around face	shake phone
Which of these is NOT a real animal?	jackalope	liger	wholphin
Which of these astronomical objects orbits the Earth?	moon	milky way	sun
What topic would a herpetologist study?	venereal disease	mushroom farming	crocodile teeth
Which of these things was created by a person who hose to remain anonymous?	bitcoin	hoverboards	fidget spinners
What tech mogul became a billionaire the youngest?	evan spiegel	mark zuckerberg	larry page
Which color is NOT represented in the original electronic Simon game?	blue	orange	green
Which of these modes of transportation has only one wheel?	monster truck	bus	unicycle
Which of these is NOT a geometric shape?	octagon	tarragon	hexagon
pronunciation of the performer who sings Smooth Operator?	shah-day	sayd	say-dee
Mardi Gras is celebrated right before what other observance?	lent	kwanzaa	ramadan
What is the total cost of all the vowels on “Wheel of Fortune?	$1250	$2500	$2900
Vhich of these is classified as a neurological condition or disorder?	halitosis	cystic fibrosis	multiple sclerosis
The lyrics to The Star- Spangled Banner were written during what conflict?	the civil war	american revolution	the war of 1812
Which of these Uranus moons is NOT named after a Shakespearean character?	oberon	umbriel	trinculo
Lonnie Lynns only Academy Award win was in what category?	best adapted screenplay	best cinematography	best original song
Which of these Kentucky erby winners was named for its trainer?	clyde van dusen	paul jones	lieut. gibson
hich of these two U.S. cities are in the same time zone?	el paso pierre	bismarck/ cheyenne	pensacola /sioux falls
his/her trademark series of books would never be adapted	james patterson	sue grafton	jeff kinney
his/her trademark series of books would never be adapted for film?	james patterson	sue grafton	jeff kinney
his/her trademark series of books would never be adapted for film?	james patterson	sue grafton	jeff kinney
his/her trademark series of books would never be adapted for film?	james patterson	sue grafton	jeff kinney
	629k	which of th	found on th
	609k	which of the	the l
In the insect world a Yellow Jacket is a type of What?	wasp	bee	beetle
J.K. Rowlings first book published in England was titled Harry Potter and the what?	philosophers stone	sorcerers stone	magicians stone
Where in the home does the Maillard reaction typically occur?	kitchen	bedroom	bathroom
Which of these states does NOT touch the Mason- Dixon Line?	west virginia	delaware	tennessee
The creator of Wonder Woman also created an early version of what device?	magic marker	hearing aid	lie detector
Which of these substances expands when it freezes?	sodium chloride	carbon dioxide	dihydrogen monoxide
Who holds the record as the youngest solo artist with a Billboard #1 hit?	justin bieber	michael jackson	stevie wonder
In which version of Dragnet is the line Just the facts maam” first said?	50s tv show	50s movie	80s movie
Which U.S. presidents wife was NOT born in North America?	john quincy adams	rutherford b. hayes	martin van buren
Which of these would NOT be found in a bag of mixed nuts?	lug nuts	hazelnuts	peanuts
